Item,Loading
Bold,0.3464563396811266
Energetic,-0.005791387514374385
Extraverted,0.3178769916710492
Talkative,0.3305984441807617
Bashful,0.6073918309365132
Quiet,0.7836456905681042
Shy,0.976710896488949
Withdrawn,0.97605716348171645
Cooperative,0.748476210376273
Kind,0.9671298268799366
Sympathetic,0.9490536284667925
Warm,0.9819081710204861
Cold,0.006448033766073611
Harsh,0.03326543454352379
Rude,0.049720948933047335
Unsympathetic,0.12533843482396742
Efficient,0.5883953397577583
Organized,0.9278382617438046
Practical,0.5153573894686202
Systematic,0.9762021021778147
Careless,0.2769513869417695
Disorganized,0.39349479108124286
Inefficient,0.33006953130435923
Sloppy,0.38495485942597324
Envious,0.9773024032185396
Fretful,0.13488580483353066
Jealous,0.990615333448779
Moody,0.21146372114917747
Temperamental,0.26331145623681274
Touchy,0.2612179143218687
Relaxed,-0.06286388264105329
Unenvious,0.33074606334708173
Complex,0.9008114948231751
Creative,0.7833276120575943
Deep,0.9350262386305612
Imaginative,0.8427826998404766
Intellectual,0.8007199669232312
Philosophical,0.7439808693691345
Uncreative,0.016053708724627556
Unintellectual,0.017596198604032512
