Study,Format,Model,Structure_Type,Factor_Domain,N_Items,N_Participants,Alpha,Omega,Eigenvalue,Variance_Explained,Mean_Loading_Abs,Max_Loading_Abs,Min_Loading_Abs,RMSEA,CFI,TLI,SRMR,Total_Variance_Explained,N_Factors_Total,File_Source
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,8,200,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,0.8979123190918754,0.9447151961161167,0.843827011941322,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,0.0,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Agreeableness,8,200,0.8406235029664296,0.4838898890842179,3.8711191126737465,0.48388988908421765,0.6676295638862828,0.8828301680587356,0.3492521196083749,0.3705205083889456,0.772671673319224,0.6817403426469137,0.2248801426007059,0.0,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Conscientiousness,8,200,0.8912936480955767,0.57229435625312,4.578354850024956,0.5722943562531194,0.7469167320878846,0.8572190986326748,0.48411839925650263,0.27794181053149225,0.8994089630024567,0.8591725482034394,0.17099017493841603,0.0,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Neuroticism,7,200,0.742262832300178,0.4651247136425864,3.255872995498104,0.465124713642586,0.6049213957361336,0.8854904398986504,0.062017790383319206,0.29645682110762583,0.8282461792855625,0.7423692689283439,0.17554411938060155,0.0,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Openness,8,200,0.8680514820794109,0.5332078918160661,4.265663134528532,0.5332078918160669,0.6983233200577593,0.9037195045600787,0.31963408266006993,0.2972368796639775,0.8702007474987128,0.818281046498198,0.18215771602340328,0.0,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Modified,Factor_1,14,200,0.9079013591102009,0.4146856959137155,7.44712392819032,0.29278518425808586,0.6305778636434857,0.770726734012583,0.4293341805088369,0.3531226333713698,0.7738123702317214,0.732687346637489,0.23368233520920323,0.6521911143779128,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Modified,Factor_5,4,200,0.9331482054195204,0.5667514006456218,3.485916405942567,0.13704950891963935,0.7508241298921272,0.8004944431852888,0.6593914003652749,0.5821331609725189,0.9111721757867706,0.7335165273603116,0.23881116041003939,0.6521911143779128,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Modified,Factor_4,4,200,0.47123118322542823,0.17639539004654708,3.8094883537921076,0.14977080552828825,0.41929353692712046,0.456201596249507,0.3912550686809292,0.5615071567060078,0.4527443643513418,0.0,0.23047553579389754,0.6521911143779128,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Modified,Factor_2,8,200,0.5968711071022954,0.303318340953579,6.058399811702635,0.23818721459219108,0.5473078143279149,0.6281176806067575,0.4186043685541816,0.35790204161336,0.771145743077745,0.6796040403088429,0.21749663546991793,0.6521911143779128,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Modified,Factor_3,9,200,0.783249072320704,0.3285843306621486,4.634524961110972,0.18220728670179537,0.5645608670039681,0.709143162583447,0.4136427668693483,0.40562267161854926,0.6676660774903131,0.5568881033204176,0.2515256718798659,0.6521911143779128,5,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
